Activity Name,SASB CODE,SASB SECTOR NAME,ISIC Unique Code,ISIC Section,Industry,Ecosystem Service,Dependency Type,Severity,Impact Driver,Impact Rating,Combined Risk Level,Primary Environmental Assets,Ecosystem Service,TNFD Metric Code(s),Why This Metric Applies,Recommended Unit,TNFD Metric,TNFD Metric Code(s),Recommended Unit,,,,,
Metals & Mining,EM-MM-110,Extractives & Minerals Processing,B_7_72,Mining and quarrying,Building Products & Furnishings,Global climate regulation,Climate,M,Water use,VH,H,"Soil, Water, Biodiversity",Soil & sediment retention,A.3 / C1.0,Land disturbance & erosion control,Km² disturbed land or tonnes soil loss/year,Assets at Physical Risk,C7.1,monetary value (USD),,,,,Asset value exposed to physical nature risks
Oil & Gas – Exploration & Production,EM-EP-110,Extractives & Minerals Processing,B_6_61,Mining and quarrying,E-Commerce,Global climate regulation,Climate,L,GHG emissions,VH,M,"Marine ecosystems, Soil, Water, Atmosphere",Soil quality regulation,A.3 / C1.0,Soil health & land degradation control,Km² degraded land or soil organic carbon (%),Fines/Penalties/Litigation,C7.2,monetary value (USD/year),,,,,Environmental penalties & legal costs
Oil & Gas – Midstream,EM-MD-110,Extractives & Minerals Processing,H_49_493,Transportation and storage,E-Commerce,Air Filtration,Climate,L,GHG emissions,VH,,"Soil, Water, Atmosphere",Solid waste remediation,A.8 / C3.2,Waste management & contamination control,Tonnes / Year (hazardous & non-hazardous waste),Nature-Related Investment,C7.3,monetary value (USD/year),,,,,"Investment in restoration, conservation, nature-positive actions"
Oil & Gas – Refining & Marketing,EM-RM-110,Extractives & Minerals Processing,C_19_192,Manufacturing,E-Commerce,Water supply,Water,L,GHG emissions,VH,,"Atmosphere, Water, Soil",Storm mitigation,A.12 / C5.0,Coastal & natural ecosystem integrity,Ecosystem condition index (%) or Km² natural buffer area,Revenue from Nature-Positive,C7.4,monetary value (USD/year) and/or % revenue,,,,,
Oil & Gas – Services,EM-SV-110,Extractives & Minerals Processing,B_9_91,Mining and quarrying,Household & Personal Products,Water supply,Water,VH,Water use,H,,"Soil, Marine ecosystems, Water",Water flow regulation,"A.4, A.5 / C2.0",Hydrological balance & water use pressure,m³/year,,,,,,,,
Asset Management & Custody Activities,FN-AC-270,Financials,K_66_663,Financial and insurance activities,Household & Personal Products,Water purification,Water,H,GHG emissions,L,,"Atmosphere (indirect), Biodiversity (indirect)",Water purification,A.7 / C3.0,Nutrient & pollutant filtration,"tonnes/year (N, P discharge)",,,,,,,,
Commercial Banks,FN-CB-230,Financials,K_64_641,Financial and insurance activities,Household & Personal Products,Global climate regulation,Climate,M,GHG emissions,L,,"Atmosphere (indirect), Biodiversity (indirect)",Water supply,"A.4, A.5 / C2.0",Freshwater withdrawal & consumption,m³/year,,,,,,,,
Consumer Finance,FN-CF-220,Financials,K_64_649,Financial and insurance activities,Multiline & Specialty Retailers & Distributors,Global climate regulation,Climate,L,GHG emissions,L,,Atmosphere (indirect),,,,,,,,,,,,
Investment Banking & Brokerage,FN-IB-330,Financials,K_66_661,Financial and insurance activities,Multiline & Specialty Retailers & Distributors,Water supply,Water,L,GHG emissions,L,,Atmosphere (indirect),,,,,,,,,,,,
Insurance,FN-IN-270,Financials,K_65_651,Financial and insurance activities,Toys & Sporting Goods,Water supply,Water,M,GHG emissions,L,,Biodiversity & climate risk exposure,,,,,,,,,,,,
Mortgage Finance,FN-MF-270,Financials,K_64_649,Financial and insurance activities,Toys & Sporting Goods,Global climate regulation,Climate,M,GHG emissions,L,,"Land use, Urban environment",,,,,,,,,,,,
Security & Commodity Exchanges,FN-EX-410,Financials,K_66_662,Financial and insurance activities,Coal Operations,Water supply,Water,VH,GHG emissions,L,,Indirect (climate & ecosystems),,,,,,,,,,,,
Agricultural Products,FB-AG-110,Food & Beverage,A_1_11_111,"Agriculture, forestry and fishing",Coal Operations,Flood mitigation services,Water,H,Terrestrial ecosystem use,VH,,"Soil, Water, Biodiversity, Forests",,,,,,,,,,,,
Alcoholic Beverages,FB-AB-130,Food & Beverage,C_11_110_1101,Manufacturing,Coal Operations,Soil and sediment retention,Water,H,Water use,H,,"Water, Soil",,,,,,,,,,,,
Food Retailers & Distributors,FB-FR-110,Food & Beverage,G_47_471,Wholesale and retail trade; repair of motor vehicles and motorcycles,Coal Operations,Global climate regulation,Climate,H,Solid waste,M,,"Waste systems, Atmosphere",,,,,,,,,,,,
"Meat, Poultry & Dairy",FB-MP-110,Food & Beverage,C_10_101_1010,Manufacturing,Construction Materials,Water supply,Water,VH,GHG emissions,VH,,"Soil, Water, Atmosphere, Biodiversity",,,,,,,,,,,,
Non-Alcoholic Beverages,FB-NB-110,Food & Beverage,C_11_110_1104,Manufacturing,Construction Materials,Soil and sediment retention,Water,H,Water use,VH,,Water,,,,,,,,,,,,
Processed Foods,FB-PF-130,Food & Beverage,C_10_107,Manufacturing,Construction Materials,Air Filtration,Climate,M,Water use,H,,"Water, Atmosphere, Waste systems",,,,,,,,,,,,
Restaurants,FB-RN-130,Food & Beverage,I_56_561,Accommodation and food service activities,Iron & Steel Producers,Water supply,Water,VH,Solid waste,M,,"Waste systems, Water, Atmosphere",,,,,,,,,,,,
Tobacco,FB-TB-260,Food & Beverage,C_12_120,Manufacturing,Iron & Steel Producers,Water purification,Water,H,Soil pollutants,H,,"Soil, Forests, Water",,,,,,,,,,,,
Biotechnology & Pharmaceuticals,HC-BP-210,Health Care,C_21_210,Manufacturing,Iron & Steel Producers,Global climate regulation,Climate,H,Water pollutants,H,,"Water, Soil, Biodiversity",,,,,,,,,,,,
Drug Retailers,HC-DR-130,Health Care,G_47_473,Wholesale and retail trade; repair of motor vehicles and motorcycles,Metals & Mining,Water supply,Water,VH,Solid waste,M,,"Waste systems, Water",,,,,,,,,,,,
Health Care Delivery,HC-DY-130,Health Care,Q_86_861,Human health and social work activities,Metals & Mining,Flood mitigation services,Water,H,Water use,M,,"Waste systems, Water, Atmosphere",,,,,,,,,,,,
Health Care Distributors,HC-DI-110,Health Care,G_46_469,Wholesale and retail trade; repair of motor vehicles and motorcycles,Metals & Mining,Storm mitigation,Climate,M,Solid waste,M,,"Waste systems, Atmosphere",,,,,,,,,,,,
Managed Care,HC-MC-230,Health Care,K_65_652,Financial and insurance activities,Oil & Gas – Exploration & Production,Water supply,Water,VH,GHG emissions,L,,Indirect (environmental exposure),,,,,,,,,,,,
Medical Equipment & Supplies,HC-MS-240,Health Care,C_26_266,Manufacturing,Oil & Gas – Exploration & Production,Storm mitigation,Climate,H,Solid waste,M,,"Waste systems, Atmosphere",,,,,,,,,,,,
Electric Utilities & Power Generators,IF-EU-110,Infrastructure,D_35_351,"Electricity, gas, steam and air conditioning supply",Oil & Gas – Exploration & Production,Global climate regulation,Climate,H,GHG emissions,VH,,"Atmosphere, Water, Biodiversity",,,,,,,,,,,,
Engineering & Construction Services,IF-EN-160,Infrastructure,F_42_429,Construction,Oil & Gas – Midstream,Storm mitigation,Climate,H,Terrestrial ecosystem use,H,,"Soil, Water, Biodiversity",,,,,,,,,,,,
Gas Utilities & Distributors,IF-GU-240,Infrastructure,D_35_352,"Electricity, gas, steam and air conditioning supply",Oil & Gas – Midstream,Water flow regulation,Water,M,GHG emissions,H,,"Atmosphere, Soil",,,,,,,,,,,,
Home Builders,IF-HB-160,Infrastructure,F_41_410,Construction,Oil & Gas – Refining & Marketing,Water supply,Water,VH,Terrestrial ecosystem use,H,,"Soil, Forests, Biodiversity",,,,,,,,,,,,
Real Estate,IF-RE-130,Infrastructure,L_68_681,Real estate activities,Oil & Gas – Refining & Marketing,Global climate regulation,Climate,H,GHG emissions,M,,"Land use, Urban ecosystems",,,,,,,,,,,,
Real Estate Services,IF-RS-410,Infrastructure,L_68_682,Real estate activities,Oil & Gas – Services,Water supply,Water,H,GHG emissions,M,,Urban ecosystems,,,,,,,,,,,,
Waste Management,IF-WM-110,Infrastructure,E_38_381,"Water supply; sewerage, waste management and remediation activities",Oil & Gas – Services,Storm mitigation,Climate,M,Soil pollutants,H,,"Soil, Water, Atmosphere",,,,,,,,,,,,
Water Utilities & Services,IF-WU-130,Infrastructure,E_36_360,"Water supply; sewerage, waste management and remediation activities",Asset Management & Custody Activities,Global climate regulation,Climate,L,Water use,VH,,Freshwater ecosystems,,,,,,,,,,,,
Biofuels,RR-BI-120,Renewable Resources & Alternative Energy,C_19_192,Manufacturing,Asset Management & Custody Activities,Storm mitigation,Climate,L,Terrestrial ecosystem use,H,,"Soil, Water, Biodiversity",,,,,,,,,,,,
Forestry Management,RR-FM-160,Renewable Resources & Alternative Energy,A_2_23,"Agriculture, forestry and fishing",Asset Management & Custody Activities,Rainfall pattern regulation,Climate,L,Terrestrial ecosystem use,VH,,"Forest ecosystems, Biodiversity, Soil",,,,,,,,,,,,
Fuel Cells & Industrial Batteries,RR-FC-130,Renewable Resources & Alternative Energy,C_27_275,Manufacturing,Commercial Banks,Global climate regulation,Climate,L,Air pollutants,H,,"Soil, Water, Atmosphere",,,,,,,,,,,,
Pulp & Paper Products,RR-PP-110,Renewable Resources & Alternative Energy,C_17_170,Manufacturing,Commercial Banks,Storm mitigation,Climate,L,Water use,VH,,"Forests, Water, Soil",,,,,,,,,,,,
Solar Technology & Project Developers,RR-ST-130,Renewable Resources & Alternative Energy,C_27_271,Manufacturing,Commercial Banks,Rainfall pattern regulation,Climate,L,Terrestrial ecosystem use,H,,"Land use, Soil",,,,,,,,,,,,
Wind Technology & Project Developers,RR-WT-320,Renewable Resources & Alternative Energy,C_28_281,Manufacturing,Consumer Finance,Global climate regulation,Climate,L,Terrestrial ecosystem use,H,,"Biodiversity (birds/bats), Land use",,,,,,,,,,,,
Aerospace & Defense,RT-AE-130,Resource Transformation,C_30_301,Manufacturing,Consumer Finance,Storm mitigation,Climate,L,GHG emissions,H,,"Atmosphere, Soil",,,,,,,,,,,,
Chemicals,RT-CH-110,Resource Transformation,C_20_201_2011,Manufacturing,Consumer Finance,Rainfall pattern regulation,Climate,L,Air pollutants,VH,,"Water, Soil, Atmosphere",,,,,,,,,,,,
Containers & Packaging,RT-CP-110,Resource Transformation,C_22_222,Manufacturing,Investment Banking & Brokerage,Global climate regulation,Climate,L,Solid waste,H,,"Forests, Waste systems, Marine ecosystems",,,,,,,,,,,,
Electrical & Electronic Equipment,RT-EE-130,Resource Transformation,C_26_261,Manufacturing,Investment Banking & Brokerage,Storm mitigation,Climate,L,Air pollutants,H,,"Soil, Water, Waste systems",,,,,,,,,,,,
Industrial Machinery & Goods,RT-IG-130,Resource Transformation,C_28_282,Manufacturing,Investment Banking & Brokerage,Rainfall pattern regulation,Climate,L,GHG emissions,H,,"Atmosphere, Soil",,,,,,,,,,,,
Advertising & Marketing,SV-AD-220,Services,M_73_731,"Professional, scientific and technical activities",Insurance,Global climate regulation,Climate,L,GHG emissions,L,,"Atmosphere (indirect), Urban environment",,,,,,,,,,,,
Casinos & Gaming,SV-CA-130,Services,R_92_920,"Arts, entertainment and recreation",Insurance,Storm mitigation,Climate,L,Water use,M,,"Water, Energy use, Urban environment",,,,,,,,,,,,
Education,SV-ED-230,Services,P_85_853,Education,Insurance,Rainfall pattern regulation,Climate,L,GHG emissions,L,,"Land use, Urban ecosystems",,,,,,,,,,,,
Hotels & Lodging,SV-HL-130,Services,I_55_551,Accommodation and food service activities,Mortgage Finance,Global climate regulation,Climate,L,Water use,H,,"Water, Biodiversity, Coastal ecosystems",,,,,,,,,,,,
Leisure Facilities,SV-LF-130,Services,R_93_931,"Arts, entertainment and recreation",Mortgage Finance,Storm mitigation,Climate,L,Water use,H,,"Biodiversity, Soil, Water",,,,,,,,,,,,
Media & Entertainment,SV-ME-260,Services,J_59_591,Information and communication,Mortgage Finance,Rainfall pattern regulation,Climate,L,GHG emissions,M,,"Atmosphere (indirect), Urban environment",,,,,,,,,,,,
Professional & Commercial Services,SV-PS-230,Services,M_69_691,"Professional, scientific and technical activities",Security & Commodity Exchanges,Global climate regulation,Climate,L,GHG emissions,L,,Atmosphere (indirect),,,,,,,,,,,,
Electronic Mfg Services & ODM,TC-ES-140,Technology & Communications,C_26_267,Manufacturing,Security & Commodity Exchanges,Storm mitigation,Climate,L,Air pollutants,H,,"Water, Soil, Waste systems",,,,,,,,,,,,
Hardware,TC-HW-230,Technology & Communications,C_26_262,Manufacturing,Security & Commodity Exchanges,Rainfall pattern regulation,Climate,L,Air pollutants,H,,"Soil, Water, Waste systems",,,,,,,,,,,,
Internet Media & Services,TC-IM-130,Technology & Communications,J_63_631,Information and communication,Agricultural Products,Biomass provisioning,Biotic,VH,GHG emissions,L,,"Energy use, Atmosphere",,,,,,,,,,,,
Semiconductors,TC-SC-110,Technology & Communications,C_26_263,Manufacturing,Agricultural Products,Pollination,Biodiversity,VH,Water use,VH,,"Water, Soil, Atmosphere",,,,,,,,,,,,
Software & IT Services,TC-SI-130,Technology & Communications,J_62_620,Information and communication,Agricultural Products,Soil quality regulation,Biotic,VH,GHG emissions,L,,"Energy use, Atmosphere",,,,,,,,,,,,
Telecommunications Services,TC-TL-130,Technology & Communications,J_61_611,Information and communication,Agricultural Products,Water supply,Water,VH,GHG emissions,M,,"Land use, Atmosphere",,,,,,,,,,,,
Air Freight & Logistics,TR-AF-110,Transportation,H_51_511,Transportation and storage,Agricultural Products,Rainfall pattern regulation,Climate,H,GHG emissions,VH,,"Atmosphere, Noise environment",,,,,,,,,,,,
Airlines,TR-AL-110,Transportation,H_51_512,Transportation and storage,Alcoholic Beverages,Water supply,Water,VH,GHG emissions,VH,,"Atmosphere, Climate regulation",,,,,,,,,,,,
Auto Parts,TR-AP-130,Transportation,C_29_293,Manufacturing,Alcoholic Beverages,Biomass provisioning,Biotic,H,Air pollutants,H,,"Soil, Atmosphere, Water",,,,,,,,,,,,
Automobiles,TR-AU-250,Transportation,C_29_291,Manufacturing,Alcoholic Beverages,Global climate regulation,Climate,M,GHG emissions,VH,,"Atmosphere, Soil",,,,,,,,,,,,
Car Rental & Leasing,TR-CR-250,Transportation,N_77_771,Administrative and support service activities,Food Retailers & Distributors,Water supply,Water,M,GHG emissions,H,,Atmosphere,,,,,,,,,,,,
Cruise Lines,TR-CL-110,Transportation,H_50_501,Transportation and storage,Food Retailers & Distributors,Global climate regulation,Climate,L,Marine ecosystem use,VH,,"Marine ecosystems, Water, Atmosphere",,,,,,,,,,,,
Marine Transportation,TR-MT-110,Transportation,H_50_502,Transportation and storage,"Meat, Poultry & Dairy",Biomass provisioning,Biotic,VH,Marine ecosystem use,VH,,"Marine ecosystems, Water",,,,,,,,,,,,
Rail Transportation,TR-RA-110,Transportation,H_49_491,Transportation and storage,"Meat, Poultry & Dairy",Water supply,Water,VH,GHG emissions,H,,"Soil, Atmosphere",,,,,,,,,,,,
Road Transportation,TR-RO-110,Transportation,H_49_492,Transportation and storage,"Meat, Poultry & Dairy",Soil quality regulation,Biotic,H,GHG emissions,VH,,"Atmosphere, Soil, Noise environment",,,,,,,,,,,,
,,,,,Non-Alcoholic Beverages,Water supply,Water,VH,,,,,,,,,,,,,,,,
,,,,,Non-Alcoholic Beverages,Water purification,Water,H,,,,,,,,,,,,,,,,
,,,,,Processed Foods,Water supply,Water,VH,,,,,,,,,,,,,,,,
,,,,,Processed Foods,Biomass provisioning,Biotic,H,,,,,,,,,,,,,,,,
,,,,,Restaurants,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Restaurants,Global climate regulation,Climate,L,,,,,,,,,,,,,,,,
,,,,,Tobacco,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Tobacco,Biomass provisioning,Biotic,H,,,,,,,,,,,,,,,,
,,,,,Biotechnology & Pharmaceuticals,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Biotechnology & Pharmaceuticals,Genetic material,Biodiversity,H,,,,,,,,,,,,,,,,
,,,,,Biotechnology & Pharmaceuticals,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Drug Retailers,Global climate regulation,Climate,L,,,,,,,,,,,,,,,,
,,,,,Health Care Delivery,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Health Care Delivery,Water purification,Water,H,,,,,,,,,,,,,,,,
,,,,,Health Care Distributors,Global climate regulation,Climate,L,,,,,,,,,,,,,,,,
,,,,,Managed Care,Global climate regulation,Climate,L,,,,,,,,,,,,,,,,
,,,,,Medical Equipment & Supplies,Water supply,Water,M,,,,,,,,,,,,,,,,
,,,,,Medical Equipment & Supplies,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Electric Utilities & Power Generators,Water supply,Water,VH,,,,,,,,,,,,,,,,
,,,,,Electric Utilities & Power Generators,Water flow regulation,Water,H,,,,,,,,,,,,,,,,
,,,,,Electric Utilities & Power Generators,Global climate regulation,Climate,H,,,,,,,,,,,,,,,,
,,,,,Engineering & Construction Services,Soil and sediment retention,Water,H,,,,,,,,,,,,,,,,
,,,,,Engineering & Construction Services,Flood mitigation services,Water,M,,,,,,,,,,,,,,,,
,,,,,Gas Utilities & Distributors,Storm mitigation,Climate,H,,,,,,,,,,,,,,,,
,,,,,Home Builders,Soil and sediment retention,Water,H,,,,,,,,,,,,,,,,
,,,,,Home Builders,Flood mitigation services,Water,H,,,,,,,,,,,,,,,,
,,,,,Real Estate,Flood mitigation services,Water,H,,,,,,,,,,,,,,,,
,,,,,Real Estate,Local (micro & meso) climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Real Estate Services,Local (micro & meso) climate regulation,Climate,L,,,,,,,,,,,,,,,,
,,,,,Waste Management,Solid waste remediation,Biotic,VH,,,,,,,,,,,,,,,,
,,,,,Waste Management,Water purification,Water,H,,,,,,,,,,,,,,,,
,,,,,Water Utilities & Services,Water supply,Water,VH,,,,,,,,,,,,,,,,
,,,,,Water Utilities & Services,Water purification,Water,VH,,,,,,,,,,,,,,,,
,,,,,Biofuels,Biomass provisioning,Biotic,VH,,,,,,,,,,,,,,,,
,,,,,Biofuels,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Forestry Management,Biomass provisioning,Biotic,VH,,,,,,,,,,,,,,,,
,,,,,Forestry Management,Soil quality regulation,Biotic,VH,,,,,,,,,,,,,,,,
,,,,,Forestry Management,Pollination,Biodiversity,H,,,,,,,,,,,,,,,,
,,,,,Fuel Cells & Industrial Batteries,Water supply,Water,M,,,,,,,,,,,,,,,,
,,,,,Pulp & Paper Products,Biomass provisioning,Biotic,VH,,,,,,,,,,,,,,,,
,,,,,Pulp & Paper Products,Water supply,Water,VH,,,,,,,,,,,,,,,,
,,,,,Solar Technology & Project Developers,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Wind Technology & Project Developers,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Aerospace & Defense,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Aerospace & Defense,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Chemicals,Water supply,Water,VH,,,,,,,,,,,,,,,,
,,,,,Chemicals,Water purification,Water,M,,,,,,,,,,,,,,,,
,,,,,Chemicals,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Containers & Packaging,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Containers & Packaging,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Electrical & Electronic Equipment,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Electrical & Electronic Equipment,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Industrial Machinery & Goods,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Industrial Machinery & Goods,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Advertising & Marketing,Global climate regulation,Climate,L,,,,,,,,,,,,,,,,
,,,,,Casinos & Gaming,Recreation related services,Biodiversity,M,,,,,,,,,,,,,,,,
,,,,,Education,"Education, scientific & research services",Biodiversity,M,,,,,,,,,,,,,,,,
,,,,,Hotels & Lodging,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Hotels & Lodging,Recreation related services,Biodiversity,H,,,,,,,,,,,,,,,,
,,,,,Leisure Facilities,Recreation related services,Biodiversity,H,,,,,,,,,,,,,,,,
,,,,,Media & Entertainment,Global climate regulation,Climate,L,,,,,,,,,,,,,,,,
,,,,,Professional & Commercial Services,Global climate regulation,Climate,L,,,,,,,,,,,,,,,,
,,,,,Electronic Mfg Services & ODM,Water supply,Water,M,,,,,,,,,,,,,,,,
,,,,,Electronic Mfg Services & ODM,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Hardware,Water supply,Water,M,,,,,,,,,,,,,,,,
,,,,,Hardware,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Internet Media & Services,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Semiconductors,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Semiconductors,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Software & IT Services,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Telecommunications Services,Global climate regulation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Air Freight & Logistics,Storm mitigation,Climate,H,,,,,,,,,,,,,,,,
,,,,,Air Freight & Logistics,Global climate regulation,Climate,H,,,,,,,,,,,,,,,,
,,,,,Airlines,Storm mitigation,Climate,VH,,,,,,,,,,,,,,,,
,,,,,Airlines,Global climate regulation,Climate,H,,,,,,,,,,,,,,,,
,,,,,Auto Parts,Water supply,Water,M,,,,,,,,,,,,,,,,
,,,,,Automobiles,Water supply,Water,H,,,,,,,,,,,,,,,,
,,,,,Car Rental & Leasing,Storm mitigation,Climate,M,,,,,,,,,,,,,,,,
,,,,,Cruise Lines,Storm mitigation,Climate,VH,,,,,,,,,,,,,,,,
,,,,,Cruise Lines,Water purification,Water,H,,,,,,,,,,,,,,,,
,,,,,Marine Transportation,Storm mitigation,Climate,VH,,,,,,,,,,,,,,,,
,,,,,Rail Transportation,Flood mitigation services,Water,H,,,,,,,,,,,,,,,,
,,,,,Road Transportation,Flood mitigation services,Water,H,,,,,,,,,,,,,,,,
